成果作者,成果标题
"['刘日成', '蔚立元', '张晶', '张站群']",一种用于三维裂隙岩样的水-力耦合加载装置及加载方法
"['刘日成', '蔚立元', '靖洪文', '尹乾', '韩观胜', '李博']",一种裂隙网络剪切-两相流试验装置及试验方法
"['刘日成', '靖洪文', '张晶', '蔚立元', '苏海健']",岩体裂隙网络渗流各向异性测试及可视化系统
"['刘日成', '尹乾', '靖洪文', '蔚立元', '韩观胜', '蒋宇静']",一种用于裂隙网络剪切渗流试验装置及其试验方法
"['刘日成', '靖洪文', '蔚立元', '何明']",一种含天然三维裂隙类岩石试样的制作方法
"['蔚立元', '张涛', '孟庆彬', '刘日成', '苏海健', '尹乾', '吴疆宇']",一种用于冲击试验的实时化学腐蚀装置及方法
"['闫峰', '宋凡超', '杨振', '李佳豪', '任大睿']",一种声波地下管道探测装置
"['闫峰', '宋凡超', '吴诗琪', '杨雨欣', '王昕', '周修龙']",一种小便池新型节水装置
"['王进', '王伟', '陆国栋']",一种基于四阶矩估计的工业机器人可靠性计算方法
"['翟安邦', '王进', '陆国栋', '戚仁杰', '张海运', '杨鹏程']",基于双机械臂协作打磨系统的动力学模型设计方法
"['王进', '杨鹏程', '张海运', '翟安邦', '戚仁杰', '陆国栋']",一种液体晃动模型参考自适应抑制运动控制方法
"['王进', '翟安邦', '张海运', '陆国栋', '杨鹏程', '戚仁杰']",一种基于速度重配的协调机械臂多约束加工优化方法
"['泮求亮', '林旭军', '王进', '陆国栋']",一种基于神经网络的6轴机器人动力学参数辨识方法
"['王进', '翟安邦', '李昊天', '陆国栋']",一种角度可调的多自由度抛光机打磨头机构
"['张海运', '王进', '孟德远', '翟安邦', '杨鹏程', '戚仁杰', '陆国栋']",不确定混沌系统间接自适应模糊最优同步控制器设计方法
"['方健', '王进', '泮求亮', '扶建辉', '陆国栋']",一种基于关节能耗评估的机器人工作单元布局优化方法
"['何雪军', '王进', '陆国栋', '陈立', '金晶']",一种岛中含湖型截面的环切刀轨连接方法
"['王进', '翟安邦', '徐凡', '张海运', '扶建辉', '陆国栋']",一种协调机械臂自适应神经网络同步鲁棒控制器设计方法
"['王进', '王伟', '陆国栋', '吴潮华']",一种基于空间两点投影的机器人坐标标定方法
"['常文娟', '梁忠民', '胡义明', '马海波', '朱士江', '林青霞']",一种基于Logistic的抗旱适宜供水量确定方法
"['王煜', '常文娟', '马海波', '严登华', '董鑫', '房昊天']",一种计算自然流域植物截流量的方法
"['马海波', '常文娟', '王煜', '严登华', '董鑫', '房昊天']",一种计算自然流域表面坑洼滞蓄量的方法
"['常文娟', '马海波', '梁忠民', '严登华', '雷晓辉', '王浩', '朱士江', '孙爱华', '郑霞忠', '林青霞', '董鑫']",一种基于益本比函数的适宜抗旱能力分析方法
"['常文娟', '马海波', '严登华', '肖尚斌', '雷晓辉', '董晓华', '李俊美', '纪道斌', '徐刚', '刘冀', '彭涛', '李英海', '董鑫']",自然流域划分法中确定子流域降雨量时空分布的方法
"['于永森', '薛兆康', '国旗', '孙洪波']",一种碳纤维管封装的光纤光栅压力传感器
"['郑永秋', '田振男', '薛晨阳', '于永森', '孙鹏', '国旗', '陈坤', '陈晨', '武丽云', '陈佳敏', '韩源']",微纳结构的耐高温法布里-珀罗腔传感结构及系统
